Name,POS,3PM,REB,AST,STL,BLK,TO,PTS
Anthony Davis,PF,0.7,12.1,2.3,1.8,2.9,2.3,29.9
Giannis Antetokounmpo,SF,0.7,10.8,6,1.5,1.6,3,29.4
James Harden,SG,3.3,6.3,8.3,1.6,0.6,4.8,28.6
LeBron James,SF,2,7.9,6,1.3,0.7,3.8,27.4
Karl-Anthony Towns,C,1.4,12.5,2.5,0.8,1.4,2.2,25.1
Russell Westbrook,PG,1.4,9.6,9.9,1.7,0.3,4.7,25.5
Nikola Jokic,C,2,11.3,6.6,1.2,0.9,2.9,19.9
Kevin Durant,SF,2.4,7.4,5.2,0.9,1.6,2.9,26.3
Joel Embiid,C,1.3,11.9,3.4,0.7,2,4.1,26
Stephen Curry,PG,4.3,4.9,6.4,1.8,0.2,3.1,26.7
Kawhi Leonard,SF,2.3,6.5,3.3,1.9,0.9,1.9,27.4
John Wall,PG,1.4,4.1,10.1,1.7,0.8,4,21.5
Jimmy Butler,SG,1.4,5.5,5,1.9,0.4,1.9,22.6
Andre Drummond,C,0,16,2.7,1.5,1.6,2.5,17.4
Rudy Gobert,C,0,12.1,1.4,0.7,2.5,2,13.6
Ben Simmons,PF,0.2,8.4,8.8,1.8,0.9,3.5,16.4
Damian Lillard,PG,3.1,4.7,6.5,1,0.3,2.8,27.5
Chris Paul,PG,2.2,5.1,8.7,1.8,0.2,2.3,16.7
Jrue Holiday,SG,1.8,4.4,5.1,1.5,0.8,2.4,21.2
Victor Oladipo,SG,2.2,5.4,4.4,2.4,0.8,3,23.5
Devin Booker,SG,2.5,4,4.6,0.9,0.3,3.4,24.3
Kevin Love,PF,2.7,11.8,2.3,0.9,0.5,2.1,21.1
Kyrie Irving,PG,2.5,3.5,5.3,1.1,0.3,2.4,24.1
DeAndre Jordon,C,0,14.5,1.4,0.6,1.3,1.6,12.4
Draymond Green,PF,1.1,8.2,7.4,1.6,1.4,2.9,11.6
Blake Grffin,PF,1.7,7.5,4.5,0.7,0.3,2.8,21.4
Clint Capela,C,0,11.8,1.1,0.9,2,1.6,15.4
