Name,POS,3PM,REB,AST,STL,BLK,TO,PTS,,,,
Blake Griffin,,3.7,11.3,5.7,0,0.7,0.7,36.3,,,,
Kemba Walker,,5.3,3.5,5.3,1,0,2.3,33,,,,
Zach LaVine,,3,3.7,2.7,0.7,1.3,4,32.3,,,,
Stephen Curry,,5.5,5,7.8,1.3,0,3,30.5,,,,
Anthony Davis,,1,13,5.3,2,3.3,1.7,30.3,,,,
Joel Embiid,,1,10.8,3.8,0.5,2.3,2,29.5,,,,
DeMar DeRozan,,1,5,9,1,0,2.3,29.3,,,,
Devin Booker,,3.3,3.7,6.7,1,0,6,29.3,,,,
Damian Lillard,,2.3,5.3,7,0.7,0.3,2.7,28.7,,,,
James Harden,,4,6.7,9.7,2.3,0.7,4.3,28.3,,,,
Nikola Mirotic,,3.7,10.3,1.7,0,0.3,0.7,28,,,,
Giannis Antetokounmpo,,0.3,16,5.7,0.7,1.3,5.7,27.3,,,,
LeBron James,,1,8.3,8.3,1.3,0.7,4,27.3,,,,
Tim Hardaway Jr.,,3.5,3.3,2.8,1.5,0,1.8,27,,,,
Kevin Durant,,0.8,8,5.8,1,0.8,3,26.8,,,,
Bradley Beal,,4.3,4,5,0.7,0.7,0.7,25.7,,,,
Kawhi Leonard,,2.3,8.7,2.7,1,0,2,25.7,,,,
Jimmy Butler,,0.7,5.7,3,3,1.7,2.3,25.3,,,,
Paul George,,3.3,5.3,3.7,3,0,4,25.3,,,,
Caris LeVert,,1.3,4.7,4,1,0.7,3.7,24.7,,,,
Khris Middleton,,5,6.7,3.3,1.3,0.3,2.3,24,,,,
Tobias Harris,,2,8.5,2.3,0.5,1,2,23.5,,,,
LaMarcus Aldridge,,0,12.3,4,1,1.7,1,23.3,,,,
Nikola Jokic,,1.3,10.5,7,1.5,0.8,1.8,23.3,,,,
Trae Young,,3.7,3.3,8.3,0.7,0.3,2.7,23,,,,
John Wall,,0.3,3.7,8,2,2,3.7,22.3,,,,
JJ Redick,,4.3,3.5,3,0.5,0,0.3,21.8,,,,
Danilo Gallinari,,2.5,7,1.8,0.3,0.5,0.8,21.5,,,,
Kyle Lowry,,3.8,3,10,1,0.8,2,21.5,,,,
Victor Oladipo,,2.3,6,3,1,0.5,2.8,21.5,,,,
Gary Harris,,1.3,3.5,3,1.3,0.5,0.5,21,,,,
Kyle Kuzma,,2,5,2,0.3,0.7,1,21,,,,
Taurean Prince,,2.7,5.3,3.3,1.7,0.3,4,21,,,,
Kevin Love,,1.7,14.3,4,0.3,0,3,20.7,,,,
Reggie Jackson,,3,2,4.3,0.3,0,1.7,20,,,,
TJ Warren,,2.7,2.7,1.7,1.3,0.7,1.3,20,,,,
CJ McCollum,,2.7,3.7,2.3,0.3,0,2,19.3,,,,
Joe Ingles,,4,4.3,5,2.7,0.3,2.7,19.3,,,,
Donovan Mitchell,,2.7,2.7,3,2,0,3.3,19,,,,
Enes Kanter,,0.3,12.3,2.3,1,0.3,1.5,19,,,,
