NAME,POS,3PM,REB,AST,STL,BLK,TO,PTS,,,,,
Stephen Curry,,5.6,5.4,6.1,1.1,0.4,3.1,31.3,,,,,
Joel Embiid,,1.3,12.6,3.5,0.2,2.2,2.7,28.4,,,,,
Blake Griffin,,2.6,11.3,4.8,0.7,0.6,3.7,28.1,,,,,
Kemba Walker,,4.2,4.2,5.9,0.9,0.4,2.3,28.1,,,,,
Zach LaVine,,2.4,5,3.8,1,0.7,4.3,27.9,,,,,
James Harden,,4.2,5,8.2,2.5,0.5,5.5,27.8,,,,,
Kevin Durant,,1.5,7.5,5.9,0.9,0.6,2.5,27.7,,,,,
DeMar DeRozan,,0.4,5.6,6.7,1.2,0.2,2.3,27.3,,,,,
LeBron James,,1.5,7.6,7.7,1.7,0.7,3.2,26.8,,,,,
Damian Lillard,,2.7,5.1,5.5,0.8,0.3,2,26.7,,,,,
Kawhi Leonard,,1.9,7.6,3.4,2,0.6,1.6,26.1,,,,,
Giannis Antetokounmpo,,0.2,13.3,5.9,0.9,1.2,5,25.8,,,,,
Devin Booker,,2.6,4.3,6,0.7,0.1,4.7,24.9,,,,,
Russell Westbrook,,0.3,8.3,8.9,2.1,0.1,4.1,24.1,,,,,
Tim Hardaway Jr.,,3.5,3.4,3.3,0.8,0,2,23.3,,,,,
Anthony Davis,,0.7,11.6,4.3,1.7,3.1,2.3,23.3,,,,,
Victor Oladipo,,2.5,7.2,4.1,1.5,0.4,2.5,23,,,,,
Paul George,,3,6.7,4.3,2.6,0.8,3,22.7,,,,,
Bradley Beal,,2.8,4.6,3.7,0.9,1.2,2.4,22.6,,,,,
Donovan Mitchell,,2.3,2.8,4.1,1.8,0.3,2.5,22.4,,,,,
Jimmy Butler,,1.5,4.9,3.8,2.4,1.1,1.4,22,,,,,
Nikola Mirotic,,2.4,11.4,1.3,0.9,0.5,1,21.8,,,,,
John Wall,,1.4,3.1,7.6,2.5,1,4,21.5,,,,,
Josh Richardson,,3.1,4.4,2.9,1,1.1,1.9,21.4,,,,,
Tobias Harris,,1.9,8.5,1.9,0.3,0.6,1.6,21.3,,,,,
CJ McCollum,,2.3,4,2.6,0.8,0.3,1.8,20.8,,,,,
Caris LeVert,,1.6,4.6,3.9,1.5,0.4,2.5,20.5,,,,,
Klay Thompson,,2.5,3.9,1.5,0.7,0.5,1.7,20.5,,,,,
Danilo Gallinari,,2.2,5.7,1.7,0.6,0.4,1.1,20,,,,,
LaMarcus Aldridge,,0,9.1,3.4,0.4,1,1.9,20,,,,,
Luka Doncic,,2.6,6.6,4.4,0.9,0.3,4.1,19.8,,,,,
Buddy Hield,,2.4,5.8,2.6,0.5,0.6,2.7,19.7,,,,,
Khris Middleton,,3.8,5.4,4.1,1.3,0.2,2.2,19.5,,,,,
Kyrie Irving,,2.5,4.8,5.3,1,0.7,2.4,19.2,,,,,
Lou Williams,,1.8,2,3.2,0.6,0.2,2.5,19.1,,,,,
Kevin Love,,1.8,13.5,3.5,0.3,0.3,2.5,19,,,,,
Kyle Kuzma,,1.5,5.1,1.6,0.2,0.7,1.1,19,,,,,
Trae Young,,1.8,3.2,8.1,0.4,0.3,4,19,,,,,
Jamal Murray,,1.6,4.5,3.4,1,0.4,1.9,18.9,,,,,
Jrue Holiday,,0.9,4,8.8,1.5,0.5,3.4,18.9,,,,,
Karl-Anthony Towns,,2.1,10.3,2.3,1,2.1,2.6,18.8,,,,,
De'Aaron Fox,,1,4.7,7.6,1.3,0.4,3.2,18.6,,,,,
Andre Drummond,,0.1,16.3,1.3,0.8,1.3,3,18.4,,,,,
Gary Harris,,1.2,4,3.2,1.2,0.5,1,18.3,,,,,
Julius Randle,,0.6,7.5,2,0.8,0.7,2.3,18.2,,,,,
Goran Dragic,,2.3,3.9,5.1,0.4,0.4,2.4,18.1,,,,,
Mike Conley,,1.8,3.2,5.8,1.2,0.2,1.7,18.1,,,,,
Serge Ibaka,,0.5,7.4,1.1,0.8,1.3,2,18,,,,,
Wesley Matthews,,3,2.6,2.3,0.7,0.1,1.3,18,,,,,
JJ Redick,,3.3,2.9,3.3,0.4,0.1,1.5,17.9,,,,,
Kyle Lowry,,2.6,4.5,11.5,1.5,0.5,2.8,17.9,,,,,
Nikola Vucevic,,0.9,10.5,3.7,1.2,1.3,2,17.9,,,,,
Chris Paul,,1.9,5.9,9.3,2,0.3,3.1,17.7,,,,,
Derrick Rose,,1.1,3.5,4.6,0.6,0.2,1.7,17.4,,,,,
Nikola Jokic,,1.1,10,7.7,1.1,1,2.8,17,,,,,
Dennis Smith Jr.,,1.4,2.4,4.1,1,0.3,3.3,16.8,,,,,
Andrew Wiggins,,2,3.6,1.5,1.6,0.5,1.5,16.8,,,,,
Will Barton,,2.5,5,3,0.5,1,1.5,16.5,,,,,
Reggie Jackson,,2.2,2.9,3.7,0.3,0.1,1.4,16.3,,,,,
Rudy Gobert,,0,13.4,1.2,1.1,2.2,2.1,16.3,,,,,
Aaron Gordon,,1.7,8,2,0.8,0.8,2.1,16.1,,,,,
Deandre Ayton,,0,10.9,3.4,0.7,0.8,2,15.9,,,,,
Jayson Tatum,,1.5,7.2,2.7,0.6,0.5,2,15.7,,,,,
Willie Cauley-Stein,,0,8.2,2.2,1.2,0.5,1.3,15.7,,,,,
Evan Fournier,,1.8,2.4,4.4,1.2,0.1,1.6,15.6,,,,,
Jordan Clarkson,,1.3,2.3,0.9,0.8,0.3,1.1,15.6,,,,,
Clint Capela,,0,11.3,1.9,0.4,1.8,2.2,15.6,,,,,
Brandon Ingram,,0.7,3.8,1.2,0.8,1,2.5,15.5,,,,,
Dennis Schroder,,1.2,3.9,5.6,1,0.1,2.7,15.4,,,,,
Taurean Prince,,2.3,5.1,3.2,1.3,0.2,3.6,15.4,,,,,
D'Angelo Russell,,2.2,3.7,5.1,0.8,0.4,2.4,15.4,,,,,
Enes Kanter,,0.1,11.7,2.5,0.5,0.4,2.3,15.3,,,,,
Harrison Barnes,,1.7,5.5,1.7,1,0.3,1.5,15.2,,,,,
Eric Gordon,,1.9,3.4,1.7,0.3,0.7,1.3,15,,,,,
Jusuf Nurkic,,0.2,10,1.9,0.7,0.9,2.3,15,,,,,
Marcus Morris,,2.4,6.9,1,0.5,0.3,2,14.7,,,,,
Carmelo Anthony,,2.3,5.4,0.6,0.4,0.8,0.8,14.7,,,,,
Kent Bazemore,,1.6,4.2,2.1,1.8,1,2.5,14.5,,,,,
JaVale McGee,,0.1,7.5,1.3,0.9,3.4,1.8,14.4,,,,,
Nemanja Bjelica,,2.1,5.8,2.8,1.2,0.8,1.3,14.4,,,,,
Jabari Parker,,1,6.3,1.8,0.6,0.5,2.6,14.4,,,,,
Dwyane Wade,,1.7,4,2.9,0.4,0.4,2.7,14.3,,,,,
Jae Crowder,,2.2,5.4,1.7,0.7,0.4,0.5,14.2,,,,,
Spencer Dinwiddie,,2.3,2.4,3.9,0.5,0.5,2,14.1,,,,,
Rodney McGruder,,2.3,5.7,3.7,0.9,0.3,1.4,14,,,,,
Steven Adams,,0,10.3,1.3,1.5,1.3,1.5,14,,,,,
Ben Simmons,,0,9.3,7.5,1.7,0.5,3.5,13.9,,,,,
Domantas Sabonis,,0.1,8.7,2.6,0.6,0.6,2,13.9,,,,,
