NAME,POS,3PM,REB,AST,STL,BLK,TO,PTS,,,,,,,,,,,,,,,,,,,,,
Stephen Curry,,5.2,5,6.1,1,0.3,3,29.5,,,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
James Harden,,3.9,5.1,7.5,2.3,0.6,5.2,29.3,,,,,,,,,,,,,,,,,,,,,
Kemba Walker,,3.8,4.2,6.4,1.2,0.3,2.7,28.6,,,,,,,,,,,,,,,,,,,,,
LeBron James,,2.3,8.2,6.9,1.4,0.9,3.3,28.6,,,,,,,,,,,,,,,,,,,,,
Joel Embiid,,1.4,13.3,3.5,0.5,2,3.2,27.9,,,,,,,,,,,,,,,,,,,,,
Kevin Durant,,1.2,7.5,5.9,0.9,0.9,3.1,27.2,,,,,,,,,,,,,,,,,,,,,
Anthony Davis,,0.8,12.6,4.9,1.5,2.7,2.3,27,,,,,,,,,,,,,,,,,,,,,
Giannis Antetokounmpo,,0.3,12.7,5.6,1.4,1.2,4.5,26.8,,,,,,,,,,,,,,,,,,,,,
Damian Lillard,,2.6,5.3,6.1,0.7,0.4,2.4,26.4,,,,,,,,,,,,,,,,,,,,,
Zach LaVine,,1.8,5.1,4.4,1.1,0.6,3.8,25.4,,,,,,,,,,,,,,,,,,,,,
Blake Griffin,,2.4,10.4,4.8,0.8,0.6,3.9,25.3,,,,,,,,,,,,,,,,,,,,,
Kawhi Leonard,,1.3,8.4,3.1,1.8,0.4,2.2,24.4,,,,,,,,,,,,,,,,,,,,,
DeMar DeRozan,,0.3,6,6.3,1,0.3,2.6,24.4,,,,,,,,,,,,,,,,,,,,,
Devin Booker,,2.5,3.7,7.3,1.2,0.1,4.3,24.1,,,,,,,,,,,,,,,,,,,,,
Paul George,,3.3,7.9,4.4,2.3,0.7,3,24,,,,,,,,,,,,,,,,,,,,,
Russell Westbrook,,0.8,9.4,9,2.2,0.2,4.1,23.9,,,,,,,,,,,,,,,,,,,,,
Tim Hardaway Jr.,,3.1,3.6,2.9,1,0.1,2.2,23.3,,,,,,,,,,,,,,,,,,,,,
Kyrie Irving,,2.5,4.9,6.2,1.7,0.6,2.3,21.9,,,,,,,,,,,,,,,,,,,,,
Bradley Beal,,2.4,4.5,3.8,1.1,1.1,2.2,21.7,,,,,,,,,,,,,,,,,,,,,
Klay Thompson,,2.5,3.5,1.9,1,0.6,1.9,21.7,,,,,,,,,,,,,,,,,,,,,
Victor Oladipo,,2.4,6.6,4.7,1.6,0.5,2.3,21.4,,,,,,,,,,,,,,,,,,,,,
CJ McCollum,,2.3,3.7,2.3,0.8,0.3,1.6,21.4,,,,,,,,,,,,,,,,,,,,,
John Wall,,1.7,3.3,8.1,1.9,1.2,3.4,20.9,,,,,,,,,,,,,,,,,,,,,
Tobias Harris,,2,8.6,2.3,0.4,0.6,1.9,20.8,,,,,,,,,,,,,,,,,,,,,
Donovan Mitchell,,1.9,2.6,3.7,1.6,0.4,2.5,20.6,,,,,,,,,,,,,,,,,,,,,
Josh Richardson,,2.9,3.9,3.3,1.1,0.7,2.2,20.5,,,,,,,,,,,,,,,,,,,,,
Jrue Holiday,,1.3,4.4,9.2,1.7,0.7,3.8,20.2,,,,,,,,,,,,,,,,,,,,,
Mike Conley,,2.3,3.2,6.3,1.1,0.2,2.1,20.2,,,,,,,,,,,,,,,,,,,,,
Jimmy Butler,,1.4,4.6,3.9,2.2,0.9,1.6,20.1,,,,,,,,,,,,,,,,,,,,,
Karl-Anthony Towns,,1.8,11.7,2.1,0.8,1.8,3.6,20.1,,,,,,,,,,,,,,,,,,,,,
Nikola Vucevic,,1,11.1,3.4,1.1,1,2.2,19.8,,,,,,,,,,,,,,,,,,,,,
Andre Drummond,,0.2,16.1,1.6,1.1,1.8,2.4,19.5,,,,,,,,,,,,,,,,,,,,,
Derrick Rose,,1.8,3.6,4.6,0.6,0.2,2,19.4,,,,,,,,,,,,,,,,,,,,,
Luka Doncic,,2.4,6.9,4.1,0.9,0.3,3.8,19.3,,,,,,,,,,,,,,,,,,,,,
Khris Middleton,,3,5.5,4.3,1.3,0.2,2.3,19.1,,,,,,,,,,,,,,,,,,,,,
Kevin Love,,1.8,13.5,3.5,0.3,0.3,2.5,19,,,,,,,,,,,,,,,,,,,,,
Nikola Mirotic,,2.4,10.9,1.2,0.8,0.8,1.2,18.8,,,,,,,,,,,,,,,,,,,,,
Buddy Hield,,2.5,5.6,2.7,0.6,0.4,2.3,18.7,,,,,,,,,,,,,,,,,,,,,
