NAME,POS,3PM,REB,AST,STL,BLK,TO,PTS
Stephen Curry,,5.3,5.1,5.7,1.1,0.3,3.2,30.2
James Harden,,4,5.6,8.3,2.1,0.6,5.8,29.8
Kevin Durant,,1.6,7.8,6.3,0.9,1.1,3.3,29.8
LeBron James,,2.2,7.6,6.6,1.3,0.9,3.5,28.4
Anthony Davis,,0.9,12.6,5,1.6,2.8,2.4,27.9
Damian Lillard,,2.9,5.1,6.4,0.8,0.5,2.6,27.2
Giannis Antetokounmpo,,0.3,12.9,6,1.5,1.3,4.4,27
Joel Embiid,,1.2,13.3,3.6,0.5,2,3.1,26.3
Kawhi Leonard,,1.7,8.6,2.9,1.8,0.6,2,26.1
Kemba Walker,,3.3,4.3,6.1,1.3,0.4,2.5,26
Blake Griffin,,2.3,9.1,5,0.7,0.5,3.7,24.9
Zach LaVine,,1.7,5.2,4.9,1,0.6,3.8,24.5
DeMar DeRozan,,0.2,5.6,5.9,1,0.4,2.7,24.3
Paul George,,3.2,8.1,4.3,2.1,0.8,2.8,24.3
Devin Booker,,2.4,3.6,6.7,1.2,0.1,4.1,23.5
Klay Thompson,,2.7,4.1,1.8,0.9,0.6,2,22.7
Russell Westbrook,,1.1,10.1,10,1.9,0.1,4,22.7
Bradley Beal,,2.2,4.4,4.4,1,1.1,2.2,22.4
Kyrie Irving,,2.6,4.7,6.4,1.7,0.5,2.6,22.2
Tim Hardaway Jr.,,3.1,3.3,3,0.9,0.1,2,22.1
Victor Oladipo,,2.4,6.6,4.7,1.6,0.5,2.3,21.4
CJ McCollum,,2.2,3.8,2.4,0.8,0.3,1.8,21.3
Karl-Anthony Towns,,1.9,12,2.3,1,1.7,3.4,21.3
John Wall,,1.6,3.5,8.4,1.7,1,3.5,21.3
Mike Conley,,2.3,3.5,6.5,1.1,0.4,2,21.1
Nikola Vucevic,,1.2,11.4,3.8,1,1,2,21
Tobias Harris,,2,8.5,2.3,0.5,0.5,1.9,21
Donovan Mitchell,,1.9,2.8,3.5,1.7,0.3,2.5,20.6
Jimmy Butler,,1.6,5.2,3.5,2.1,0.8,1.7,20.6
Jrue Holiday,,1.3,4.4,9,1.7,0.8,3.6,20.4
Josh Richardson,,2.7,4,3.3,1.3,0.6,2.2,19.7
Danilo Gallinari,,2.5,6,2.2,0.6,0.3,0.9,19.1
Kevin Love,,1.8,13.5,3.5,0.3,0.3,2.5,19
Nikola Mirotic,,2.7,10,1.1,0.9,0.7,1.3,18.9
JJ Redick,,2.8,2.3,3,0.2,0.2,1.6,18.6
Julius Randle,,0.6,9.3,2.6,0.6,0.5,2.5,18.6
Khris Middleton,,3,5.5,4,1.3,0.1,2.3,18.5
Buddy Hield,,2.4,5.5,2.6,0.5,0.4,2.3,18.4
Caris LeVert,,1.4,4.3,3.7,1.2,0.4,2.1,18.4
Derrick Rose,,1.7,3,4.3,0.5,0.2,1.7,18.3
LaMarcus Aldridge,,0,10.1,2.4,0.4,1.2,2.1,18.3
Luka Doncic,,2.3,6.5,4.3,1,0.4,3.6,18.1
D'Angelo Russell,,2.5,3.9,5.7,1.3,0.3,2.7,18
Andre Drummond,,0.1,15.5,1.3,1.4,1.7,2.5,18
Jamal Murray,,1.6,4.3,4.9,0.8,0.4,2.5,17.9
Clint Capela,,0,11.7,1.6,0.5,2.2,1.6,17.8
Harrison Barnes,,2.3,4.6,1.3,0.8,0.3,1.7,17.8
T.J. Warren,,1.8,4.1,1.3,1,0.8,1.1,17.7
Lou Williams,,1.3,2.5,4.5,0.6,0.1,2.5,17.6
Marc Gasol,,1.8,9.3,4,1.6,1.4,1.9,17.4
De'Aaron Fox,,1.1,3.8,7.5,1.3,0.5,3.3,17.3
John Collins,,0.4,7.9,2.4,0.1,0.5,2.2,16.9
Kyle Kuzma,,1.7,5.5,1.9,0.5,0.5,1.4,16.8
Gary Harris,,1.7,3.2,2.9,1.2,0.4,1.2,16.6
Will Barton,,2.5,5,3,0.5,1,1.5,16.5
Serge Ibaka,,0.7,7.4,1.3,0.5,1.2,1.8,16.5
Nikola Jokic,,1.1,9.6,7.8,1.3,0.7,2.8,16.5
Jabari Parker,,1,7.4,2.3,0.7,0.4,2.8,16.4
Aaron Gordon,,1.7,7.4,2.8,1,0.9,1.7,16.4
Dennis Schroder,,1.4,4.3,5,1.2,0.2,2.8,16.4
Jayson Tatum,,1.8,6.5,1.9,1.1,0.5,1.5,16.4
Chris Paul,,2.1,4.4,7.9,2.1,0.3,3.3,16.4
Goran Dragic,,1.7,3.3,4.7,0.6,0.3,2.5,16.3
Jordan Clarkson,,1.5,3.3,2.1,0.6,0.2,1.5,16.3
Montrezl Harrell,,0,7,1.5,1,1.6,1.4,16.1
Eric Bledsoe,,1.7,4.4,5.9,1.4,0.6,2.1,16
Bojan Bogdanovic,,2.1,3.8,1.4,0.8,0,1.8,15.9
Reggie Jackson,,2.1,2.7,4.1,0.7,0,1.8,15.9
Eric Gordon,,2.7,2.4,1.8,0.6,0.5,1.4,15.9
Deandre Ayton,,0,10.1,2.5,0.6,0.8,1.9,15.8
Spencer Dinwiddie,,2,2.5,4.8,0.6,0.4,2,15.7
Trae Young,,1.4,2.8,7.3,0.7,0.3,4,15.7
Andrew Wiggins,,1.9,3.7,2.3,1.3,0.7,1.7,15.6
Lauri Markkanen,,3.5,7,0.5,1.5,1,1.5,15.5
Wesley Matthews,,2.5,2.6,2.4,0.8,0.2,1.2,15.5
Bogdan Bogdanovic,,2.3,3,3.3,0.7,0.1,1.3,15.4
Malcolm Brogdon,,1.9,4.4,3.4,0.6,0.2,1.6,15.3
Evan Fournier,,2,3,3.9,1,0.3,1.9,15.3
Jeremy Lamb,,1.5,5.7,1.8,1.3,0.3,0.9,15.3
Ben Simmons,,0,8.8,8,1.4,0.7,3.6,15.2
Brandon Ingram,,0.6,4,2.2,0.7,0.7,2.3,15.2
Dwyane Wade,,1.6,3.6,3.6,0.5,0.6,2.4,15.1
Taurean Prince,,2.4,4,2.3,1.1,0.3,2.6,15
Rudy Gobert,,0,12.4,1.7,0.9,2,1.5,15
Enes Kanter,,0.1,11.7,2.1,0.4,0.5,2.1,14.9
Steven Adams,,0,10.1,1.7,1.5,1,1.5,14.9
E'Twaun Moore,,1.6,2.5,2.3,0.8,0.2,1.4,14.8
Collin Sexton,,0.8,3.2,2.5,0.4,0.1,2.1,14.8
Jusuf Nurkic,,0.1,10.6,2.2,0.9,1.1,2.1,14.7
Kyle Lowry,,2.2,4.4,10.1,1.4,0.4,2.7,14.6
Terrence Ross,,2.3,2.9,1.8,0.9,0.5,1.4,14.6
Pascal Siakam,,0.6,6.5,2.7,1.1,0.6,1.5,14.5
Domantas Sabonis,,0.2,10.1,3.3,0.6,0.7,2.6,14.3
Willie Cauley-Stein,,0,8.2,2.3,1.2,0.4,1.4,14.3
Jaren Jackson Jr.,,0.9,4.6,1.3,1,2,1.6,13.9
Marcus Morris,,2,6.2,1.3,0.6,0.1,1.7,13.8
Rudy Gay,,1.3,6.7,2.1,0.8,0.6,1.6,13.6
Hassan Whiteside,,0.1,13.7,0.8,0.6,2.9,1.7,13.5
Dennis Smith Jr.,,1.4,2.8,4.2,1.2,0.5,3.2,13.5
Paul Millsap,,0.9,7.1,2,1.4,1.1,1.7,13.5
Carmelo Anthony,,2.1,5.4,0.5,0.4,0.7,0.8,13.4
Joe Harris,,2.3,3.5,2.2,0.7,0.1,1.3,13.1
Rodney Hood,,1.3,2.4,2.1,0.8,0.1,1,13.1
Marvin Bagley III,,0.3,6.8,0.9,0.5,1.2,1.9,13
Robert Covington,,2.5,5.6,1.1,2.3,1.5,1.4,12.8
Kent Bazemore,,1.2,3.9,2.1,1.7,1,2,12.8
Dwight Howard,,0,9.2,0.4,0.8,0.4,1.8,12.8
Jonas Valanciunas,,0.3,7.3,1.1,0.4,0.8,1.4,12.8
Joe Ingles,,2.3,3.9,4.5,1.7,0.2,2.3,12.7
Ricky Rubio,,1.4,3.5,6.4,1.5,0.2,3,12.7
Justin Holiday,,3,4.6,2.6,1.7,0.5,1.1,12.6
Jae Crowder,,2,4.7,1.8,0.8,0.5,0.9,12.5
Al Horford,,1.3,6.4,3.4,0.8,1.7,1.5,12.4
Jarrett Allen,,0.1,8.3,1.7,0.5,1.4,1.4,12.3
Kelly Oubre Jr.,,1.5,4.5,0.7,0.9,0.7,1.1,12.3
Jeff Teague,,0.9,2.5,8,1.2,0.5,2.3,12.1
Trey Burke,,1,2.1,3,0.6,0.1,1.1,12
Otto Porter Jr.,,1.4,5.7,2,1.6,0.6,0.9,12
Emmanuel Mudiay,,1.1,2.8,2.8,0.8,0.5,1.8,12
JaVale McGee,,0,6.3,0.9,0.8,2.7,1.6,12
Markieff Morris,,1.5,5.3,1.8,0.8,0.7,1.4,11.8
Tristan Thompson,,0,11.8,2.1,0.9,0.4,1.5,11.8
Bryn Forbes,,2.1,1.8,2.1,0.6,0,1.2,11.7
Myles Turner,,0.3,6.2,1.7,0.4,2.7,1.7,11.6
Jaylen Brown,,1,4.1,1.3,0.6,0.6,1.4,11.6
Jerami Grant,,1.1,5,1.2,0.7,1.2,1,11.6
J.J. Barea,,0.9,2.4,5.7,0.7,0,1.7,11.5
Cedi Osman,,1.5,5.2,2.4,0.8,0.3,1.9,11.5
Wendell Carter Jr.,,0.2,7.4,2.2,0.6,1.6,1.6,11.4
Brook Lopez,,2.5,4.2,1.1,0.4,1.8,1,11.4
Rodney McGruder,,1.5,4.8,3,0.9,0.2,1.4,11.4
Damyean Dotson,,1.7,4.5,0.9,1,0.2,0.7,11.4
DeAndre Jordan,,0,13.5,2.2,0.6,1,2.4,11.1
Allonzo Trier,,0.7,3.2,1.9,0.4,0.4,1.8,11.1
Gordon Hayward,,1.3,5.5,3.5,1.2,0.3,1.4,11
Tyler Johnson,,1.3,3.1,2.3,1,0.6,1.5,11
Jeremy Lin,,1.1,2.3,3.1,0.9,0.1,2,11
Derrick Favors,,0.3,7.1,0.9,0.8,1.3,1.2,10.9
Nemanja Bjelica,,1.6,5.7,2,1,0.7,1.5,10.9
Taj Gibson,,0.4,7.1,1.5,1,0.6,1,10.8
Garrett Temple,,1.7,3.3,1.3,1.2,0.3,1.2,10.8
George Hill,,1,2.1,2.8,0.9,0.1,1.5,10.8
Dario Saric,,1.5,6,1.5,0.4,0.2,1.5,10.7
Shai Gilgeous-Alexander,,0.5,3.3,3,1,0.8,1.8,10.7
Tyreke Evans,,1.4,2.8,2.6,1.3,0.3,2.1,10.6
JaMychal Green,,0.7,7,0.8,1.2,0.6,1.9,10.5
Bobby Portis,,0.8,10,2,0.5,1,1.3,10.5
D.J. Augustin,,1.6,2.2,5.4,0.4,0,1.1,10.5
Malik Monk,,1.7,1.7,2,0.7,0.3,1.2,10.3
Trey Lyles,,0.9,4.4,1.5,0.5,0.3,1.6,10.3
Reggie Bullock,,1.8,2.2,2.4,0.7,0.1,0.9,10.1
Wayne Ellington,,2.8,2.6,1.6,1.3,0.2,0.8,10
Thaddeus Young,,0.2,5,1.3,1.5,0.3,1.1,9.9
Alex Len,,0.7,5.2,0.9,0.3,0.9,1.6,9.8
Jeff Green,,0.8,4.8,1.3,0.6,0.5,1.3,9.8
Danny Green,,2.5,3.9,1.2,1,0.8,1.1,9.8
Stanley Johnson,,1.3,4.4,1.2,1,0.2,1.5,9.8
Patty Mills,,1.8,2.6,2.6,0.6,0.2,0.9,9.7
Antonio Blakeney,,1.1,2,0.5,0.3,0.2,0.9,9.7
Trevor Ariza,,1.9,5.4,3.2,1.3,0.3,1.6,9.7
Elfrid Payton,,0.5,5.2,5.3,0.8,0.2,2,9.7
Darren Collison,,0.8,2.6,5,1.7,0.1,1.5,9.6
Tony Parker,,0.3,1.6,4.5,0.3,0.1,1.2,9.6
Juancho Hernangomez,,1.7,5.3,0.8,0.6,0.4,0.9,9.5
Quinn Cook,,1.6,2.8,2.1,0.5,0.1,1,9.5
Rondae Hollis-Jefferson,,0.1,6,1.6,0.7,0.5,1.1,9.4
Iman Shumpert,,1.9,3.2,1.7,1.2,0.3,0.6,9.4
Nicolas Batum,,1.3,5.5,3.5,1,0.5,1.8,9.4
Justise Winslow,,0.9,5.1,3.2,0.9,0.4,2.1,9.4
Cody Zeller,,0.1,5.4,2,0.7,0.7,1.2,9.3
Shelvin Mack,,1.1,2.2,3.5,1,0.1,1.3,9.3
Ish Smith,,1.1,1.9,3,0.5,0.3,1.1,9.2
Marco Belinelli,,1.5,1.7,2,0.6,0.2,0.6,9.2
Dwight Powell,,0.4,4.4,1,0.7,0.7,0.9,9.2
Alec Burks,,0.9,2.3,1.2,0.5,0.2,1,9.2
Monte Morris,,0.8,2.5,3.9,0.8,0,0.6,9.1
Al-Farouq Aminu,,1.4,8.1,0.6,1,0.4,0.8,9.1
Fred VanVleet,,1.2,2.2,4.2,0.9,0.1,1.4,9
Kris Dunn,,1,4,7,0,0,4,9
Josh Hart,,1.8,3.2,1.3,1.1,0.6,0.9,9
Kelly Olynyk,,1.5,3.9,1.9,0.6,0.4,1.4,8.9
DeMarre Carroll,,1.2,5,0.7,0.3,0.1,1.3,8.8
Dorian Finney-Smith,,1.4,4.3,0.8,1.2,0.5,1,8.7
Michael Kidd-Gilchrist,,0.3,5.6,1.2,0.4,1.2,0.6,8.7
Kevin Knox,,1.3,3.2,0.8,0.5,0.4,1.2,8.7
Allen Crabbe,,2.1,3.4,1,0.6,0.3,1.2,8.7
Jonathan Isaac,,0.7,5.2,0.9,0.7,1.1,0.9,8.6
Noah Vonleh,,0.8,8.2,1.7,0.7,1,1.3,8.6
Langston Galloway,,1.7,2.7,1.3,0.3,0.1,0.4,8.5
Rajon Rondo,,0.8,4.5,6.5,1.2,0,2.3,8.5
Josh Jackson,,0.6,3.3,2,0.9,0.5,2.3,8.4
Evan Turner,,0.2,5.1,4.2,0.8,0.3,1.9,8.4
DeAndre' Bembry,,0.8,4.4,2.5,1.4,0.6,1.6,8.4
Marvin Williams,,1.5,5.1,0.9,0.8,0.7,0.6,8.3
Terry Rozier,,1.3,4,2.3,0.7,0.3,0.7,8.3
OG Anunoby,,1.2,2.7,0.6,0.6,0.3,0.8,8.3
James Ennis III,,1.3,2.6,0.7,1,0.4,0.6,8.2
Lonzo Ball,,1.3,5.3,4.6,1.3,0.3,2,8.2
Danuel House Jr.,,1,2.8,0.8,0.3,0.2,0.8,8.2
Markelle Fultz,,0.2,3.7,3.1,0.9,0.3,1.3,8.2
Kentavious Caldwell-Pope,,1.2,2.5,0.5,0.8,0.2,0.5,8
Landry Shamet,,1.7,1.3,1,0.5,0.1,0.5,8
Miles Bridges,,1,4,1,0.7,0.7,0.5,8
Shabazz Napier,,1,1.7,1.5,0.7,0.3,0.9,7.9
Mike Muscala,,1.5,4.9,1.5,0.3,0.5,1,7.9
Boban Marjanovic,,0,4.8,0.6,0.3,0.8,0.8,7.9
Zach Collins,,0.6,4.2,1,0.4,1,1.3,7.9
Dewayne Dedmon,,0.6,6.7,0.8,1.1,1.2,1.2,7.8
Mario Hezonja,,0.8,3.5,1.2,0.8,0.1,1.4,7.7
Ryan Arcidiacono,,1.8,2.5,3.8,1,0,1,7.7
Avery Bradley,,0.8,2.2,1.7,0.8,0.5,1.4,7.7
PJ Tucker,,1.9,6.2,1.1,1.3,0.4,1,7.7
Ersan Ilyasova,,0.9,5.7,1.2,0.5,0.2,0.9,7.5
